lecture_id,article_count,rating_count,rating_average,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score,text_assignment_negative_tfidf,text_assignment_positive_tfidf,text_assignment_tfidf,text_attendance_negative_tfidf,text_attendance_positive_tfidf,text_attendance_tfidf,text_exam_negative_tfidf,text_exam_positive_tfidf,text_exam_tfidf,text_grading_negative_tfidf,text_grading_positive_tfidf,text_grading_tfidf,text_negative_count,text_negative_ratio,text_neutral_count,text_neutral_ratio,text_positive_count,text_positive_ratio,text_review_count,text_teaching_negative_tfidf,text_teaching_positive_tfidf,text_teaching_tfidf,text_teamwork_negative_tfidf,text_teamwork_positive_tfidf,text_teamwork_tfidf
488969,20,90,3.8,0.76,0.433334,0.566666,0.95,0.05,0.65,0.350001,0.116667,0.75,0.238333,0.588333,0.0,0.272364,0.190714,0.0,0.0,0.0,0.044483,0.132004,0.15636,0.0,0.031892,0.063785,2,0.1,4,0.2,14,0.7,20,0.092154,0.059843,0.08588,0.0,0.0,0.0
2249741,20,704,4.92,0.984,0.658381,0.34162,0.980114,0.019886,0.952415,0.047585,0.541903,0.092329,0.970526,0.015269,0.0,0.644026,0.45096,0.0,0.079047,0.034431,0.0,0.069364,0.069364,0.0,0.095677,0.095677,0,0.0,0,0.0,20,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0
44167,20,112,4.56,0.912,0.517857,0.482143,0.955357,0.044643,0.696429,0.303571,0.375,0.205357,0.457589,0.339286,0.0,0.061321,0.042938,0.0,0.079047,0.034431,0.0,0.102916,0.102916,0.0,0.096731,0.096731,0,0.0,0,0.0,20,1.0,20,0.0,0.246394,0.246394,0.0,0.0,0.0
1937179,20,208,4.69,0.938,0.430288,0.569711,0.862981,0.137019,0.608173,0.391827,0.408654,0.163461,0.397356,0.405769,0.0,0.343503,0.261996,0.0,0.0,0.0,0.0,0.0604,0.0604,0.0,0.095677,0.159989,0,0.0,2,0.1,18,0.9,20,0.0,0.130188,0.156225,0.0,0.0,0.0
1325743,18,58,3.74,0.748,0.318966,0.681034,0.413794,0.586206,0.827586,0.172414,0.146552,0.706896,0.791379,0.144828,0.092347,0.228763,0.239489,0.0,0.0,0.0,0.0,0.015284,0.015284,0.111716,0.240489,0.276511,1,0.055556,3,0.166667,14,0.777778,18,0.128501,0.0,0.036307,0.0,0.084138,0.018519
43617,5,45,2.93,0.586,0.555555,0.444444,0.911111,0.088888,0.788889,0.21111,0.088889,0.833333,0.411111,0.4,0.0,0.613215,0.429385,0.0,0.316188,0.137724,0.0,0.480291,0.480291,0.0,0.480946,0.480946,0,0.0,0,0.0,5,1.0,5,0.0,0.137139,0.137139,0.0,0.0,0.0
44106,20,119,4.49,0.898,0.595834,0.404167,0.925001,0.075,0.633333,0.366667,0.316667,0.429167,0.379583,0.417083,0.0,0.091982,0.064408,0.0,0.079047,0.034431,0.06073,0.285991,0.302617,0.0,0.16644,0.16644,1,0.05,0,0.0,19,0.95,20,0.0,0.061355,0.061355,0.0,0.0,0.0
2376911,20,108,3.03,0.606,0.694445,0.305556,0.962963,0.037037,0.513889,0.486111,0.439815,0.162037,0.4,0.4,0.0,0.091982,0.064408,0.0,0.0,0.0,0.0,0.105612,0.105612,0.0,0.032419,0.064312,5,0.25,5,0.25,10,0.5,20,0.0,0.026038,0.026038,0.0,0.0,0.0
44130,20,302,4.62,0.924,0.430463,0.569536,0.903973,0.096026,0.715232,0.284768,0.42053,0.22351,0.42053,0.384106,0.0,0.198399,0.138923,0.0,0.497041,0.216499,0.0,0.220436,0.220436,0.0,0.20044,0.20044,0,0.0,1,0.05,19,0.95,20,0.0,0.058714,0.058714,0.0,0.0,0.0
42259,20,60,4.33,0.866,0.950001,0.050001,0.983334,0.016667,0.591666,0.408334,0.191666,0.608334,0.715833,0.053333,0.0,0.050966,0.035687,0.0,0.0,0.0,0.044483,0.188181,0.212537,0.0,0.063785,0.063785,1,0.05,7,0.35,12,0.6,20,0.0,0.0,0.0,0.0,0.0,0.0
120875,20,95,4.87,0.974,0.963158,0.036842,0.952632,0.047369,0.989474,0.010526,0.421053,0.457895,0.981053,0.012632,0.0,0.090559,0.063411,0.0,0.079047,0.034431,0.0,0.0,0.0,0.0,0.063785,0.063785,0,0.0,1,0.05,19,0.95,20,0.0,0.053113,0.053113,0.0,0.0,0.0
2249292,20,82,4.26,0.852,0.451219,0.54878,0.719512,0.280488,0.579268,0.420732,0.323171,0.304878,0.310975,0.536585,0.025,0.151512,0.127561,0.0,0.0,0.0,0.147119,0.12608,0.178533,0.395643,0.070763,0.198333,9,0.45,1,0.05,10,0.5,20,0.125,0.0,0.035318,0.0,0.0,0.0
787745,20,149,4.72,0.944,0.721476,0.278523,0.956376,0.043624,0.859061,0.140939,0.214765,0.617449,0.394631,0.404698,0.0,0.061321,0.042938,0.0,0.0,0.0,0.0,0.122237,0.122237,0.0,0.095677,0.095677,0,0.0,0,0.0,20,1.0,20,0.0,0.066961,0.066961,0.0,0.0,0.0
355221,20,110,4.7,0.94,0.531818,0.468181,0.85,0.150001,0.840909,0.159091,0.163636,0.659091,0.683636,0.12,0.0,0.142948,0.121564,0.0,0.158094,0.068862,0.0,0.094951,0.094951,0.0,0.05,0.088344,0,0.0,2,0.1,18,0.9,20,0.0,0.0,0.0,0.0,0.05,0.011005
1772445,20,95,4.59,0.918,0.963158,0.036842,0.978948,0.021052,0.700001,0.300001,0.18421,0.621053,0.422105,0.374737,0.0,0.030661,0.021469,0.0,0.112039,0.048802,0.0,0.064631,0.064631,0.0,0.064838,0.064838,0,0.0,1,0.05,19,0.95,20,0.0,0.092519,0.092519,0.0,0.0,0.0
2750403,20,144,4.19,0.838,0.243056,0.756944,0.586806,0.413195,0.586805,0.413194,0.333334,0.243055,0.566319,0.20868,0.0,0.137078,0.095984,0.0,0.0,0.0,0.0,0.012178,0.012178,0.0,0.125361,0.125361,0,0.0,4,0.2,16,0.8,20,0.0,0.0,0.0,0.0,0.05,0.011005
786591,20,270,4.9,0.98,0.516667,0.483333,0.938889,0.061111,0.896296,0.103703,0.111111,0.751853,0.709445,0.047408,0.0,0.050966,0.035687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070763,0.070763,0,0.0,0,0.0,20,1.0,20,0.0,0.032677,0.032677,0.0,0.0,0.0
